诗	詩
杨	楊
译	訳
兰	蘭
凤	鳳
韦	韋
吴	呉
赵	趙
贾	賈
爹	黐
韩	韓
萧	蕭
萨	薩
姊	姉
倘	麪
乔	麕
冯	馮
舰	艦
讯	訊
迁	遷
订	訂
庙	廟
鸿	鴻
鹏	鵬
怔	鵯
兹	茲
辆	輌
枫	楓
阐	闡
锦	錦
琼	瓊
邮	郵
婷	鵆
鹰	鷹
币	幣
斋	斎
沪	滬
歧	鵄
仑	侖
晌	鴪
驶	駛
邓	鴈
亿	億
骇	駭
渔	漁
煞	鱧
轩	軒
锡	錫
谊	誼
沧	滄
诵	誦
谭	譚
坟	墳
荆	荊
俞	兪
诧	詫
钗	釵
聂	聶
颖	穎
钥	鑰
侄	姪
陡	闘
贩	販
叁	鰔
厢	廂
尧	尭
轿	轎
芷	鯱
缕	縷
秃	禿
娱	娯
栋	棟
钰	鯒
鲍	鮑
矿	鉱
郝	鯑
桢	鯏
缪	繆
霉	黴
绮	綺
岚	嵐
鸳	鴛
驴	驢
舆	輿
庐	廬
阎	閻
诊	診
舱	艙
顷	頃
鸭	鴨
觅	覓
骏	駿
贷	貸
诈	鬥
詹	鬆
冈	岡
琪	髷
钞	鈔
巩	鞏
鸯	鴦
稣	髴
怅	悵
筷	髣
蓦	驀
鹊	鵲
莺	鴬
啤	體
窦	竇
铮	驅
鸠	鳩
拣	騷
揪	駮
陕	陜
琏	饑
垄	壟
诬	誣
滨	濱
诛	誅
祯	禎
筠	饂
芜	蕪
颐	頤
辫	辮
姗	餬
阀	閥
宓	餠
摹	餤
薰	薫
笃	篤
砚	硯
龚	颱
煜	顋
帧	幀
侨	僑
箫	簫
鹃	鵑
扳	鈑
蝇	蝿
绎	繹
圳	韲
炜	韈
诠	詮
锥	錐
渲	鞦
颁	頒
谛	諦
狞	獰
聋	聾
衮	袞
诃	訶
橱	鞜
睬	靺
沅	靹
泸	瀘
谕	諭
鳄	鰐
闵	閔
珑	瓏
谏	諌
婧	靈
跄	蹌
娓	靆
迳	逕
兑	兌
惋	輓
唬	雜
讼	訟
雯	隸
鬓	鬢
阙	闕
贿	賄
轼	軾
抨	陝
嬷	陞
浒	滸
闽	陏
鞑	韃
恺	關
邢	閠
娄	婁
踱	鈬
鸽	鴿
飕	閖
汴	閊
讪	閇
驿	駅
篱	籬
萤	蛍
辗	輾
婶	鑽
谟	謨
缴	鑵
俨	儼
栈	桟
谤	謗
灶	竃
诣	詣
俭	倹
踹	鑪
栅	柵
馒	饅
辖	轄
枣	棗
袅	嫋
钊	鑛
婊	鑁
盎	鐡
阑	闌
纨	鐵
缅	緬
佬	鐶
韬	韜
炕	鐓
亩	畝
缭	繚
绛	絳
诲	誨
槛	檻
坞	塢
碳	鏝
纣	紂
铐	鎹
渎	涜
谍	諜
坷	鎔
邹	鄒
讹	訛
铎	鐸
蔷	薔
浏	瀏
榷	鎭
隽	雋
恻	惻
纭	紜
嬴	鍮
萦	鍼
钮	鍜
纬	緯
狰	錻
榆	楡
锣	鑼
缉	緝
蹑	躡
掳	錵
簌	錺
绥	綏
驹	駒
蛊	蠱
湄	鋩
鸥	鴎
锄	鋤
崽	銕
骷	鉈
忡	鉅
袄	襖
诘	詰
贻	貽
雳	靂
烬	燼
苇	葦
茧	繭
颉	頡
褚	釼
砆	釛
碔	釡
钳	鉗
阖	闔
诂	詁
绫	綾
鲸	鯨
蕙	釋
璜	醯
嵇	酳
缰	酘
轶	軼
烨	酖
怆	愴
髅	髏
涧	澗
烩	邉
偌	遲
跺	隨
毡	氈
玺	璽
辕	轅
绚	絢
飙	飆
赃	賍
瑷	遯
憨	遞
诽	誹
骡	騾
缥	縹
荃	遖
擎	遉
楣	逎
癞	癩
乓	逧
籁	藾
窑	窯
晗	迴
悻	邇
跷	磽
濒	瀕
琦	迯
睽	迚
滢	辷
骈	駢
忒	辭
镑	轣
雏	雛
伫	佇
缈	緲
匾	轜
炅	轗
鲨	鯊
谙	諳
戾	輹
谆	諄
矶	磯
霭	靄
飒	颯
谪	謫
痪	渙
跤	輛
礴	軈
屿	嶼
赂	賂
涔	軅
纾	軆
鸾	鸞
贰	貳
翟	躔
纶	綸
抡	躄
鹦	鸚
闸	閘
滤	濾
胭	蹐
镯	踴
陇	踰
恸	慟
墩	踐
枭	梟
贮	貯
瘪	跿
惦	踈
缨	纓
攥	跼
靶	赱
姒	贔
潆	贓
夔	贊
匮	匱
脍	膾
汩	賻
辍	輟
锭	錠
睐	賣
欤	歟
翎	賤
挞	撻
讷	訥
饲	飼
邺	戝
脓	膿
钏	釧
洼	貍
诙	詼
缆	纜
霁	霽
饺	餃
殡	殯
荧	塋
闩	閂
鹗	鶚
锚	錨
缤	繽
锵	鏘
弈	豬
陨	隕
驸	豎
晾	谺
撂	讙
阉	閹
泾	讀
蓓	譽
璇	譯
缄	緘
缜	譟
卤	鹵
饷	餉
荤	葷
懵	譖
辐	輻
惬	證
炖	燉
谥	謚
谗	譁
罡	謠
鹉	鵡
涣	諡
镣	鐐
绀	紺
掂	諫
膑	諚
峦	巒
茬	靫
滇	觝
菀	觀
靳	覽
猬	蝟
篓	簍
虬	覺
垅	覈
垦	襷
鼢	襴
鹫	鷲
怂	慫
汶	襭
懑	懣
觞	觴
阕	褝
牍	牘
琨	褞
鲤	鯉
樨	褌
撵	褄
甭	裲
媲	裝
讴	謳
轲	軻
拄	袰
蘸	袮
熠	袗
镰	鎌
谄	諂
荪	袵
鹂	衞
栾	欒
荔	衒
馁	餒
骥	驥
峒	衂
骁	驍
桅	衄
毗	蠻
瘸	蠧
饯	餞
窠	蠶
抠	蠑
剐	蠎
斓	蠍
犷	蠏
颍	潁
稹	蟲
囱	蟇
琛	蟐
靓	螢
蛐	蠅
呓	囈
刨	蝪
岖	嶇
捋	蜑
闾	閭
勰	蛬
骧	蠣
刽	蚰
榭	號
啕	乕
羿	虍
鹭	鷺
捎	蘋
婺	蘓
焘	藥
谀	諛
镐	薹
颦	顰
崆	蕷
镂	鏤
掇	薑
戕	薀
熵	蕀
龛	龕
恿	慂
璀	蔕
诌	蔟
骞	騫
鸪	鴣
胰	蓆
妪	嫗
娣	蒻
榄	欖
泞	濘
坳	蓙
侬	蒟
炀	煬
皑	皚
娲	葢
辇	輦
鳖	葹
骊	驪
鹧	鷓
姝	葯
饨	飩
腌	萬
辘	轆
婕	葮
撷	蒄
暨	曁
绾	綰
铨	銓
钺	鉞
俪	儷
昙	曇
驮	駄
赡	贍
嵘	萪
孪	菻
